id,mentor_or_mentee,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6,preference_7,preference_8,preference_9,preference_10,preference_11,preference_12,preference_13,preference_14,preference_15,industry,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,gender,gender_preference
136,mentee,177,137,92,124,86,21,71,32,129,30,90,188,1,16,173,Food and Beverage;Nonprofit;Healthcare;Hospitality;,4,10,2,10,10,2,Female,Female
137,mentee,1,75,160,196,85,148,180,125,79,93,151,106,28,84,110,Agriculture;Real Estate;Hospitality;,1,10,2,2,10,8,Female,No Preference
138,mentee,91,99,4,125,182,105,190,72,126,71,137,142,9,74,37,Aerospace;Nonprofit;Real Estate;,7,4,8,10,9,5,Female,Male
139,mentee,191,185,45,67,51,169,57,194,66,81,110,105,190,3,122,Human Resources;,4,4,8,4,8,4,Female,No Preference
140,mentee,166,0,76,31,182,34,193,113,143,175,159,2,66,45,174,Media and News;Entrepreneurship;Agriculture;Legal;Nonprofit;,7,10,4,3,3,8,Male,Male
141,mentee,145,166,14,2,128,151,21,74,160,53,17,183,11,34,80,Government;Arts and Design;Food and Beverage;Other;Legal;,5,1,9,10,8,6,Female,No Preference
142,mentee,29,3,11,163,110,112,56,146,153,126,150,166,162,79,36,Legal;Hospitality;,6,4,4,7,10,5,Nonbinary/Fluid/Gender Queer,No Preference
143,mentee,148,105,34,188,30,80,36,157,77,88,170,32,50,134,185,Consulting;Media and News;Nonprofit;Healthcare;,7,2,7,4,3,6,Female,Nonbinary/Fluid/Gender Queer
144,mentee,146,180,110,63,101,176,117,0,69,139,152,67,111,74,126,Technology;Finance;Agriculture;Real Estate;Entertainment;,10,6,5,10,4,3,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
145,mentee,112,146,125,32,155,108,96,7,133,180,199,84,81,44,134,Healthcare;Hospitality;Education;,5,5,8,5,4,3,Male,No Preference
146,mentee,150,60,102,186,13,25,187,174,35,110,53,14,108,10,184,Pharmaceutical;Engineering;Media and News;Consulting;Education;,1,2,10,4,5,9,Female,No Preference
147,mentee,114,147,150,7,159,65,155,188,20,30,68,8,189,190,93,Government;Food and Beverage;Healthcare;,7,10,8,1,2,4,Female,No Preference
148,mentee,69,115,116,180,101,133,37,79,128,22,192,124,78,14,86,Entrepreneurship;Nonprofit;Pharmaceutical;Entertainment;,10,7,9,9,6,3,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
149,mentee,141,8,7,59,143,60,43,117,87,127,197,93,85,129,162,Healthcare;Hospitality;Technology;Entrepreneurship;Government;,3,3,3,8,3,9,Nonbinary/Fluid/Gender Queer,No Preference
150,mentee,118,114,64,166,34,104,172,127,8,13,37,158,36,178,38,Entrepreneurship;Advertising/Marketing;Nonprofit;Media and News;Pharmaceutical;,3,1,7,8,5,5,Nonbinary/Fluid/Gender Queer,No Preference
151,mentee,75,43,116,81,160,28,179,146,39,29,80,169,112,101,62,Government;Pharmaceutical;Finance;Technology;Human Resources;,10,5,9,9,7,10,Male,No Preference
152,mentee,15,125,110,165,134,10,56,7,190,26,122,107,188,199,93,Pharmaceutical;Education;Engineering;Hospitality;Media and News;,4,10,5,2,8,1,Female,No Preference
153,mentee,94,23,21,111,70,128,17,7,44,114,173,185,32,129,48,Engineering;Hospitality;,4,5,7,4,7,1,Female,No Preference
154,mentee,24,130,89,13,63,88,136,144,124,129,199,3,23,135,66,Arts and Design;Hospitality;,4,7,9,7,3,5,Female,No Preference
155,mentee,178,97,47,162,140,171,164,6,44,146,96,132,80,133,24,Pharmaceutical;,8,8,6,10,1,10,Female,Nonbinary/Fluid/Gender Queer
156,mentee,186,163,192,47,100,140,190,141,67,171,95,99,139,106,175,Engineering;Legal;Advertising/Marketing;Pharmaceutical;Aerospace;,5,2,4,4,10,2,Male,Nonbinary/Fluid/Gender Queer
157,mentee,195,183,42,84,151,173,2,170,40,55,31,1,41,39,175,Healthcare;Consulting;Media and News;,6,9,10,10,1,1,Female,No Preference
158,mentee,142,0,195,86,199,25,63,183,26,105,75,27,109,193,110,Healthcare;,10,5,3,1,10,8,Nonbinary/Fluid/Gender Queer,No Preference
159,mentee,17,129,38,107,165,114,20,169,5,46,95,4,47,55,70,Agriculture;Education;Nonprofit;Consulting;Engineering;,3,2,3,2,10,6,Female,No Preference
160,mentee,106,148,111,144,55,192,102,14,52,41,30,171,186,50,127,Hospitality;Aerospace;Education;Engineering;Other;,3,1,4,4,4,7,Female,No Preference
161,mentee,121,62,143,27,158,10,0,18,17,137,78,161,40,180,182,Entertainment;Fashion;Healthcare;,3,2,2,1,7,10,Nonbinary/Fluid/Gender Queer,Female
162,mentee,83,78,173,167,24,163,106,93,157,117,71,22,156,135,69,Hospitality;Government;,5,6,10,7,10,6,Male,No Preference
163,mentee,65,193,125,137,32,157,28,57,34,52,72,161,101,187,33,Education;Technology;Accounting;Finance;Media and News;,1,9,9,2,5,6,Male,Male
164,mentee,142,186,160,129,24,90,134,52,115,34,46,80,188,149,152,Technology;Fashion;,5,2,3,6,7,7,Male,Male
165,mentee,21,39,166,118,90,176,79,172,53,164,72,146,113,193,135,Nonprofit;Aerospace;Fashion;Arts and Design;Food and Beverage;,7,4,10,9,9,5,Male,No Preference
166,mentee,155,113,41,177,96,24,50,2,106,180,122,144,7,130,188,Consulting;Legal;Education;,4,2,8,5,2,2,Male,No Preference
167,mentee,41,58,185,198,7,161,17,15,109,195,62,143,74,113,193,Fashion;Government;Other;,5,3,5,2,9,4,Female,Female
168,mentee,150,81,94,83,197,84,166,38,68,115,82,16,109,153,50,Accounting;Media and News;,2,2,7,3,10,8,Male,No Preference
169,mentee,92,72,66,111,13,37,143,94,85,188,128,144,48,163,16,Legal;Healthcare;,10,5,7,6,9,6,Female,Male
170,mentee,173,180,108,40,12,130,106,131,58,122,166,84,184,154,48,Healthcare;Food and Beverage;Finance;,3,3,7,8,4,4,Male,No Preference
171,mentee,64,6,76,96,21,27,114,124,106,32,128,182,161,127,134,Hospitality;,6,6,3,9,10,1,Female,No Preference
172,mentee,157,83,58,118,139,69,67,65,59,109,46,147,144,16,195,Advertising/Marketing;Pharmaceutical;Arts and Design;Finance;,10,5,5,10,5,9,Female,No Preference
173,mentee,165,184,70,40,62,64,72,121,198,167,150,103,93,169,186,Government;Healthcare;Agriculture;Accounting;Fashion;,8,4,7,4,3,7,Male,No Preference
174,mentee,46,108,44,174,137,98,63,101,146,131,123,55,69,120,110,Healthcare;Aerospace;,2,4,2,5,7,6,Male,No Preference
175,mentee,53,148,106,104,48,83,19,117,136,39,37,54,171,151,181,Accounting;Agriculture;Human Resources;Food and Beverage;,1,2,10,1,4,7,Male,No Preference
176,mentee,44,116,104,6,103,48,66,46,39,120,53,113,166,11,84,Accounting;Food and Beverage;Pharmaceutical;,8,2,7,1,10,9,Nonbinary/Fluid/Gender Queer,Male
177,mentee,109,125,124,134,185,136,81,38,74,189,176,141,7,195,40,Consulting;Other;Government;,1,7,6,4,5,6,Nonbinary/Fluid/Gender Queer,No Preference
178,mentee,178,108,98,11,5,101,100,73,181,151,193,148,173,23,147,Entertainment;Agriculture;Education;,8,3,6,10,8,10,Female,No Preference
179,mentee,62,6,72,114,46,18,48,2,104,155,94,111,149,37,80,Finance;Consulting;Engineering;,3,1,3,8,10,5,Nonbinary/Fluid/Gender Queer,No Preference
180,mentee,180,93,97,46,166,149,59,179,173,43,98,132,64,125,42,Education;Nonprofit;Other;Technology;Media and News;,2,7,4,5,2,7,Female,Male
181,mentee,115,90,64,177,81,149,11,46,35,56,21,198,111,83,193,Consulting;Human Resources;Real Estate;,5,8,1,2,9,1,Nonbinary/Fluid/Gender Queer,Female
182,mentee,180,169,27,21,100,142,147,122,186,91,13,9,121,76,167,Technology;Advertising/Marketing;Aerospace;,8,10,10,3,6,5,Female,No Preference
183,mentee,106,5,0,140,80,47,15,133,79,109,88,22,42,159,165,Engineering;,4,7,3,6,10,9,Female,Male
184,mentee,114,12,173,106,121,147,194,86,156,90,196,85,125,39,2,Agriculture;Fashion;Entrepreneurship;Entertainment;Legal;,8,1,8,3,8,9,Female,No Preference
185,mentee,38,196,192,31,93,51,17,26,152,114,178,191,168,84,119,Aerospace;Hospitality;Government;Pharmaceutical;,7,1,1,2,7,1,Female,No Preference
186,mentee,85,16,138,114,191,142,119,67,17,184,178,13,170,160,12,Education;Pharmaceutical;Technology;,5,8,10,5,1,2,Male,No Preference
187,mentee,2,178,140,43,14,26,197,5,172,145,173,130,168,8,31,Education;Agriculture;,9,6,6,7,10,4,Male,No Preference
188,mentee,186,68,142,66,110,89,7,14,9,60,169,108,135,118,159,Human Resources;Media and News;,1,10,7,9,8,3,Female,Male
189,mentee,63,134,158,21,182,93,87,123,177,138,72,195,150,50,193,Advertising/Marketing;Government;,2,8,5,5,9,8,Female,No Preference
190,mentee,66,37,178,137,119,123,5,100,83,15,179,157,42,195,171,Nonprofit;Technology;Human Resources;,5,2,10,2,3,2,Male,No Preference
191,mentee,195,52,117,6,36,138,83,155,168,26,66,151,94,100,5,Nonprofit;Food and Beverage;Other;,2,10,6,3,6,6,Female,Nonbinary/Fluid/Gender Queer
192,mentee,63,5,94,84,17,13,103,91,187,118,173,170,197,73,3,Food and Beverage;Arts and Design;,7,5,6,9,10,5,Female,No Preference
193,mentee,182,194,40,59,4,30,92,148,75,21,52,143,34,12,20,Healthcare;Real Estate;Food and Beverage;,3,7,2,10,6,5,Nonbinary/Fluid/Gender Queer,No Preference
194,mentee,18,178,80,168,46,177,146,52,77,29,139,17,30,23,6,Fashion;Legal;,9,9,5,8,6,4,Female,Female
195,mentee,150,46,144,25,61,180,92,57,130,79,120,138,157,20,112,Healthcare;Consulting;Accounting;Government;,4,10,4,3,3,3,Male,Nonbinary/Fluid/Gender Queer
196,mentee,99,163,74,68,97,16,154,35,194,169,112,128,117,53,71,Real Estate;Hospitality;Finance;Fashion;,4,10,5,1,7,7,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
197,mentee,124,72,102,12,175,166,79,100,70,157,148,43,193,133,198,Nonprofit;Engineering;Real Estate;,1,4,9,7,9,8,Female,No Preference
198,mentee,103,172,199,43,21,155,166,18,163,156,85,135,13,145,104,Technology;,10,5,10,6,5,6,Female,Female
199,mentee,91,85,195,11,153,157,148,28,98,167,33,164,26,4,70,Finance;Legal;Engineering;,3,9,4,6,4,9,Male,No Preference
